"Iteration" "Assoc_Stat" "S_IBS" "S_AM" "S_AS" "S_LIN" "S_REC" "S_QUAD" "S_012" "S_123" "S_124" "S_h1" "skat.kernel" "tree1" "tree2" "tree3" "tree4" "tree5"
"1289" 449 "SKAT" 0.228160161329951 0.228160161329951 0.228160161329952 1 1 0.967869412480556 0.687629646081623 0.687629646081623 0.513466975754498 0.687629646081621 0.0180602230839403 0.160467298127914 0.160467298127914 0.408625748757331 0.41368069204462 0.41368069204462
"1291" 421 "GTSR" 0.002 0.002 0 0.768 0.85 0.782 0.002 0.39 0.522 0.048 0 0.068 0.068 0.016 0.016 0.016
"1296" 426 "GTSR" 0 0 0 0.802 0.986 0.842 0 0.12 0.032 0.002 0 0.002 0.002 0.022 0.03 0.03
"1299" 429 "GTSR" 0.848 0.848 0.886 0.946 0.96 0.994 0.85 0.95 0.828 0.818 0.024 0.808 0.808 0.74 0.744 0.744
"1303" 433 "GTSR" 0.3 0.3 0.25 0.95 0.89 0.962 0.236 0.49 0.434 0.362 0.002 0.154 0.154 0.428 0.45 0.45
"1305" 435 "GTSR" 0.468 0.468 0.68 0.696 0.942 0.758 0.76 0.926 0.85 0.546 0 0.294 0.294 0.064 0.072 0.072
"1308" 438 "GTSR" 0.27 0.27 0.198 1 0.84 0.91 0.254 0.532 0.772 0.47 0.008 0.136 0.136 0.16 0.158 0.158
"1311" 441 "GTSR" 0.01 0.01 0.01 0.896 0.938 0.928 0.004 0.23 0.196 0.03 0 0.28 0.28 0 0 0
"1312" 442 "GTSR" 0.032 0.032 0.176 0.888 0.928 0.952 0.152 0.572 0.462 0.026 0 0 0 0.004 0.004 0.004
"1316" 446 "GTSR" 0 0 0 0.356 0.638 0.35 0 0.256 0.286 0 0 0.002 0.002 0 0 0
"1319" 449 "GTSR" 0.696 0.696 0.736 0.978 0.854 0.946 0.694 0.804 0.968 0.708 0.032 0.476 0.476 0.806 0.826 0.826
"1321" 421 "MDMR" 0.002 0 0 0 0.442 0 0.02 0.006 0.016 0.01 0 0.03 0.034 0.026 0.026 0.036
"1326" 426 "MDMR" 0 0 0 0.198 0.004 0.774 0 0.004 0.002 0.006 0.012 0.004 0 0.044 0.024 0.054
"1329" 429 "MDMR" 0.532 0.51 0.392 0.08 0.524 0.1 0.416 0.42 0.506 0.464 0.144 0.646 0.668 0.278 0.31 0.316
"1333" 433 "MDMR" 0.088 0.086 0.124 0.016 0.228 0.324 0.292 0.14 0.218 0.104 0 0.144 0.118 0.128 0.124 0.13
"1335" 435 "MDMR" 0.114 0.114 0.096 0.044 0.858 0.138 0.156 0.178 0.314 0.15 0 0.166 0.16 0.058 0.068 0.066
"1338" 438 "MDMR" 0.094 0.086 0.098 0.018 0.612 0.034 0.044 0.094 0.132 0.102 0.198 0.056 0.072 0.168 0.168 0.18
"1341" 441 "MDMR" 0.004 0.006 0.008 0.104 0.11 0.302 0.018 0.006 0.02 0.002 0 0.096 0.082 0 0 0
"1342" 442 "MDMR" 0 0.026 0.062 0 0.208 0.006 0.108 0.02 0.036 0.018 0 0.044 0.038 0.022 0.02 0.016
"1346" 446 "MDMR" 0 0 0 0 0.496 0 0 0 0 0.002 0 0.014 0.006 0 0 0
"1349" 449 "MDMR" 0.176 0.214 0.17 0.292 0.008 0.664 0.32 0.68 0.448 0.618 0.024 0.064 0.084 0.428 0.446 0.438
"1355" 455 "SKAT" 0.249945600598054 0.249945600598054 0.249945600598053 0.169741136941809 0.476357300285294 0.999797860806735 0.378754542418351 0.378754542418349 0.533930406170871 0.378754542418352 0.0106033804649127 0.49658975479954 0.49658975479954 0.352723300315124 0.329819473063489 0.32981947306349
"1358" 458 "SKAT" 0.248777851016336 0.248777851016336 0.248777851016336 1 0.536149772113822 0.057256912963827 0.418367264019282 0.418367264019283 0.627956618156881 0.418367264019282 0.000117281186396312 0.446056139610883 0.446056139610883 0.0665257711115688 0.0560149221985351 0.0560149221985353
"1359" 459 "SKAT" 0.103481386677703 0.103481386677703 0.103481386677704 1 0.83771534244006 1 0.0571618285690485 0.0571618285690484 0.0445290024066227 0.0571618285690489 0.00216291444484362 0.175433115954792 0.175433115954793 0.134993570239584 0.131879993530029 0.131879993530029
"1366" 466 "SKAT" 0.117084207343633 0.117084207343633 0.117084207343633 1 0.99735918171311 1 0.162213516248674 0.162213516248674 0.196288891168762 0.162213516248674 0.00107228795101033 0.412299203218629 0.412299203218629 0.239125912367932 0.232264371797527 0.232264371797528
"1370" 470 "SKAT" 0.210483502695787 0.210483502695787 0.210483502695787 0.273150915130559 0.996280779085957 0.200931517104446 0.319794772506616 0.319794772506616 0.326239162271632 0.319794772506617 0.00520901468648449 0.184989186903596 0.184989186903596 0.335460913283276 0.265699237737077 0.265699237737076
"1371" 471 "SKAT" 0.116058355598358 0.116058355598358 0.116058355598358 1 0.959736780215681 1 0.184026150860176 0.184026150860176 0.242452475583834 0.184026150860176 0.000135697231111398 0.292227862879816 0.292227862879816 0.157614625465669 0.159100139023764 0.159100139023763
"1372" 472 "SKAT" 0.0395817712920574 0.0395817712920574 0.0395817712920573 0.999998575718311 1 1 0.0391515459072476 0.0391515459072476 0.059958445549479 0.0391515459072478 2.05488561495493e-05 0.146075062200945 0.146075062200945 0.100391173946799 0.104628653384799 0.104628653384799
"1373" 473 "SKAT" 0.140854296466364 0.140854296466364 0.140854296466366 1 1 1 0.159441549884073 0.159441549884073 0.130187917903484 0.159441549884073 0.000991304090861345 0.255526986605214 0.255526986605213 0.467137158985435 0.455352133095725 0.455352133095724
"1375" 475 "SKAT" 0.0364937544252084 0.0364937544252084 0.0364937544252084 0.143873984421146 0.970054390691619 0.0407461092172143 0.0882600335579 0.0882600335578996 0.237491569825592 0.088260033557901 0.00113323287235212 0.186318435271551 0.186318435271551 0.19882924751124 0.194762781678841 0.194762781678841
"1377" 477 "SKAT" 0.000551083497127403 0.000551083497127403 0.000551083497127403 1 1 0.999103828241617 0.000780483468743487 0.000780483468743931 0.00149611469138489 0.000780483468744153 1.07169432661536e-07 0.00050345664097684 0.000503456640977173 0.0377722011818559 0.0187080141260962 0.018708014126096
"1379" 479 "SKAT" 0.0344357860040438 0.0344357860040438 0.0344357860040438 1 1 1 0.0565269374096549 0.0565269374096549 0.106666172524076 0.0565269374096546 0.000895042072150409 0.110808146992364 0.110808146992365 0.0203474495256276 0.0223916334027329 0.0223916334027336
"1385" 455 "GTSR" 0.752 0.752 0.772 0.998 0.976 1 0.956 0.988 0.886 0.936 0 0.816 0.816 0.644 0.576 0.576
"1388" 458 "GTSR" 0.736 0.736 0.86 0.788 0.846 0.782 0.74 0.682 0.476 0.932 0 0.874 0.874 0.018 0.01 0.01
"1389" 459 "GTSR" 0.376 0.376 0.33 0.982 0.988 0.986 0.18 0.634 0.516 0.402 0 0.526 0.526 0.078 0.074 0.074
"1396" 466 "GTSR" 0.288 0.288 0.45 0.83 0.9 0.928 0.544 0.782 0.706 0.396 0 0.934 0.934 0.312 0.302 0.302
"1400" 470 "GTSR" 0.624 0.624 0.684 0.924 0.914 0.922 0.976 0.962 0.906 0.914 0.004 0.53 0.53 0.6 0.464 0.464
"1401" 471 "GTSR" 0.48 0.48 0.636 0.82 0.91 0.844 0.9 0.926 0.868 0.73 0 0.786 0.786 0.16 0.152 0.152
"1402" 472 "GTSR" 0.112 0.112 0.198 0.914 0.824 0.864 0.158 0.446 0.41 0.13 0 0.452 0.452 0.038 0.034 0.034
"1403" 473 "GTSR" 0.468 0.468 0.51 0.836 0.858 0.838 0.606 0.822 0.762 0.544 0 0.824 0.824 0.998 0.962 0.962
"1405" 475 "GTSR" 0.108 0.108 0.118 0.834 0.716 0.964 0.23 0.608 0.71 0.248 0 0.546 0.546 0.24 0.228 0.228
"1407" 477 "GTSR" 0 0 0 0.75 0.994 0.808 0 0.004 0 0 0 0 0 0.002 0 0
"1409" 479 "GTSR" 0.066 0.066 0.056 0.968 0.904 0.998 0.094 0.362 0.468 0.182 0 0.356 0.356 0 0 0
"1415" 455 "MDMR" 0.198 0.208 0.268 0.112 0.42 0.14 0.556 0.318 0.446 0.358 0.062 0.39 0.42 0.454 0.422 0.444
"1418" 458 "MDMR" 0.206 0.222 0.1 0.036 0.468 0.028 0.194 0.35 0.598 0.338 0.012 0.348 0.306 0.012 0.016 0.006
"1419" 459 "MDMR" 0.102 0.096 0.05 0.068 0.178 0.058 0.006 0.048 0.028 0.058 0.002 0.286 0.246 0.036 0.024 0.036
"1426" 466 "MDMR" 0.104 0.118 0.054 0.03 0.704 0.096 0.202 0.14 0.196 0.146 0.02 0.458 0.406 0.098 0.09 0.108
"1430" 470 "MDMR" 0.162 0.156 0.052 0.034 0.122 0.02 0.126 0.258 0.24 0.31 0.014 0.096 0.08 0.362 0.292 0.282
"1431" 471 "MDMR" 0.114 0.128 0.166 0.014 0.664 0.06 0.352 0.158 0.26 0.138 0 0.352 0.356 0.038 0.044 0.05
"1432" 472 "MDMR" 0.032 0.046 0.142 0.936 0.53 0.908 0.162 0.07 0.114 0.028 0 0.226 0.24 0.03 0.036 0.034
"1433" 473 "MDMR" 0.134 0.156 0.05 0.038 0.078 0.604 0.104 0.126 0.094 0.168 0 0.222 0.16 0.492 0.426 0.442
"1435" 475 "MDMR" 0.026 0.026 0.002 0 0.45 0 0.044 0.038 0.194 0.066 0.002 0.226 0.236 0.18 0.208 0.186
"1437" 477 "MDMR" 0 0 0 0 0.694 0 0 0 0 0 0 0 0 0.072 0.032 0.03
"1439" 479 "MDMR" 0.032 0.024 0.036 0.56 0.618 0.512 0.048 0.054 0.082 0.054 0.01 0.068 0.052 0.004 0 0.002
"1442" 482 "SKAT" 0.209672310287173 0.209672310287173 0.209672310287173 1 1 1 0.257794106569307 0.257794106569308 0.381612913961965 0.257794106569306 0.0103141027951523 0.659745614975432 0.659745614975432 0.166507717473309 0.161491951277061 0.161491951277062
"1443" 483 "SKAT" 0.49307551686128 0.49307551686128 0.493075516861281 1 0.995402106268584 0.978290487889236 0.567546903653498 0.567546903653498 0.681766453673076 0.567546903653494 0.0893511438078851 0.79007245400664 0.79007245400664 0.288511814186946 0.292855375754032 0.292855375754033
"1444" 484 "SKAT" 0.559351615672376 0.559351615672376 0.559351615672375 1 0.999998269702907 1 0.584107206121129 0.584107206121129 0.67640372352822 0.584107206121127 0.00232179620574002 0.578945507150913 0.578945507150913 0.132302802107836 0.116638485071006 0.116638485071007
"1445" 485 "SKAT" 0.0705313568553269 0.0705313568553269 0.0705313568553269 1 0.99999951776276 0.108942158257251 0.13886620260549 0.13886620260549 0.273646537031648 0.13886620260549 5.89465752263152e-05 0.281077205687051 0.281077205687052 0.0475243656742779 0.0460064160465601 0.0460064160465602
"1447" 487 "SKAT" 0.0165182343026773 0.0165182343026773 0.0165182343026775 0.742069161113721 0.995682247047061 0.891872057150522 0.0149671671831209 0.0149671671831209 0.021873370095682 0.0149671671831209 0.00504238520373934 0.317043251450015 0.317043251450015 0.136024423061142 0.146279134987164 0.146279134987163
"1448" 488 "SKAT" 0.27409387421406 0.27409387421406 0.274093874214057 0.433827613616837 1 1 0.338256262856593 0.338256262856588 0.481301434343736 0.338256262856597 0.000818247074109268 0.918054461239668 0.918054461239668 0.137277666735478 0.145647942933597 0.145647942933597
"1449" 489 "SKAT" 0.0090745408379691 0.0090745408379691 0.00907454083796932 0.0723255733434721 0.999975616321792 1 0.0168192326107235 0.0168192326107234 0.0397447328122851 0.0168192326107235 2.47309051526479e-06 0.03813244976089 0.0381324497608901 0.011412445904724 0.0131231446259461 0.0131231446259454
"1452" 492 "SKAT" 0.000371944329890739 0.000371944329890739 0.000371944329891183 1 1 1 0.000516890274488979 0.00051689027448909 0.00126811348467926 0.000516890274488757 0.00205010911590131 0.0107237678542288 0.010723767854229 0.00713923413786732 0.0105782522587285 0.0105782522587292
"1453" 493 "SKAT" 0.00779737802106428 0.00779737802106428 0.00779737802106428 1 0.918087792338646 0.999886284606199 0.00482858944071562 0.0048285894407154 0.00149570446517422 0.00482858944071551 0.0001609907525294 0.0447969510302052 0.0447969510302052 0.0742426259440196 0.0821667335866512 0.0821667335866515
"1454" 494 "SKAT" 0.513186581545714 0.513186581545714 0.513186581545713 0.999949196282567 0.412230398597038 0.685532008756111 0.397074671699212 0.39707467169921 0.388245237839319 0.397074671699213 0.109000910505055 0.526543933564411 0.526543933564412 0.122423282058205 0.1206935894078 0.120693589407801
"1458" 498 "SKAT" 0.0107706037674238 0.0107706037674238 0.0107706037674238 1 1 0.470561146278483 0.00767827216288297 0.00767827216288253 0.0116807545043788 0.00767827216288253 0.0176794223648744 0.0338809394970649 0.0338809394970649 0.154601334841145 0.160921226675164 0.160921226675163
"1461" 501 "SKAT" 0.0955169874601126 0.0955169874601126 0.0955169874601122 1 1 1 0.0917337690527258 0.091733769052726 0.0826740180328736 0.0917337690527259 0.0017126751021278 0.124626452755294 0.124626452755294 0.0796542701045333 0.0853175896174978 0.0853175896174974
"1462" 502 "SKAT" 0.00243068448485295 0.00243068448485295 0.00243068448485251 0.685099821322948 1 0.188906159246271 0.00345675778103516 0.00345675778103516 0.00695015678817934 0.00345675778103516 1.22054949374117e-05 0.00411234392344739 0.00411234392344706 0.00278766866861058 0.0029030493786053 0.00290304937860542
"1468" 508 "SKAT" 0.172685331403103 0.172685331403103 0.172685331403103 1 1 1 0.590094613277464 0.590094613277466 0.559001354122693 0.590094613277465 0.000198374174516625 0.525066473751944 0.525066473751943 0.150099086114873 0.144350530554462 0.144350530554461
"1472" 482 "GTSR" 0.582 0.582 0.734 0.89 0.92 0.912 0.762 0.99 0.976 0.688 0.002 0.646 0.646 0.118 0.118 0.118
"1473" 483 "GTSR" 0.88 0.88 0.692 0.816 0.844 0.792 0.55 0.64 0.508 0.778 0.1 0.492 0.492 0.466 0.474 0.474
"1474" 484 "GTSR" 0.75 0.75 0.746 1 0.842 0.956 0.822 0.898 0.954 0.844 0.022 0.67 0.67 0.096 0.068 0.068
"1475" 485 "GTSR" 0.192 0.192 0.166 0.822 1 0.858 0.424 0.732 0.962 0.416 0 0.796 0.796 0.018 0.012 0.012
"1477" 487 "GTSR" 0.008 0.008 0.016 0.906 0.986 0.886 0.01 0.058 0.092 0.004 0.138 0.942 0.942 0.09 0.108 0.108
"1478" 488 "GTSR" 0.83 0.83 0.736 0.9 0.85 0.878 0.822 0.868 0.894 0.974 0 0.492 0.492 0.092 0.086 0.086
"1479" 489 "GTSR" 0.008 0.008 0.002 0.95 0.888 1 0.008 0.266 0.298 0.048 0 0.036 0.036 0 0 0
"1482" 492 "GTSR" 0 0 0 0.826 0.93 0.85 0 0.102 0.098 0 0 0 0 0 0 0
"1483" 493 "GTSR" 0.002 0.002 0 0.844 0.862 0.816 0 0.026 0 0.012 0 0.082 0.082 0.016 0.022 0.022
"1484" 494 "GTSR" 0.866 0.866 0.868 0.742 0.92 0.756 0.74 0.71 0.682 0.846 0.692 0.776 0.776 0.058 0.05 0.05
"1488" 498 "GTSR" 0.036 0.036 0.012 0.91 0.936 0.946 0.006 0.374 0.278 0.084 0 0.02 0.02 0.136 0.144 0.144
"1491" 501 "GTSR" 0.286 0.286 0.436 0.946 0.976 0.954 0.374 0.748 0.616 0.292 0 0.372 0.372 0.028 0.026 0.026
"1492" 502 "GTSR" 0 0 0.002 0.976 0.846 0.944 0 0.006 0.006 0 0 0 0 0 0 0
"1498" 508 "GTSR" 0.492 0.492 0.508 0.898 0.854 0.86 0.876 0.946 0.982 0.768 0 0.82 0.82 0.108 0.102 0.102
"1502" 482 "MDMR" 0.146 0.21 0.16 0.2 0.932 0.268 0.284 0.278 0.44 0.232 0.102 0.68 0.712 0.082 0.088 0.092
"1503" 483 "MDMR" 0.502 0.516 0.41 0.076 0.676 0.204 0.562 0.504 0.702 0.538 0.2 0.844 0.808 0.388 0.422 0.378
"1504" 484 "MDMR" 0.568 0.548 0.516 0.394 0.624 0.686 0.502 0.622 0.73 0.588 0.004 0.584 0.57 0.062 0.04 0.036
"1505" 485 "MDMR" 0.076 0.064 0.056 0.05 0.394 0.296 0.16 0.11 0.302 0.176 0.002 0.244 0.206 0.01 0.014 0.014
"1507" 487 "MDMR" 0.016 0.01 0.038 0.246 0.514 0.688 0.032 0.008 0.028 0.008 0 0.328 0.316 0.206 0.202 0.21
"1508" 488 "MDMR" 0.202 0.194 0.618 0.008 0.916 0.064 0.728 0.304 0.536 0.262 0 0.89 0.916 0.026 0.05 0.054
"1509" 489 "MDMR" 0.002 0.008 0.018 0.004 0.672 0.022 0.09 0.018 0.064 0.014 0 0.07 0.058 0 0 0.002
"1512" 492 "MDMR" 0 0 0 0 0.27 0 0 0 0 0 0.004 0.012 0.024 0.002 0.006 0.006
"1513" 493 "MDMR" 0.008 0.006 0.014 0 0.036 0.052 0.002 0.004 0 0.004 0 0.022 0.018 0.014 0.038 0.018
"1514" 494 "MDMR" 0.512 0.494 0.576 0.22 0.192 0.102 0.44 0.392 0.36 0.4 0.032 0.43 0.46 0.058 0.046 0.054
"1518" 498 "MDMR" 0.006 0.008 0.016 0.02 0.406 0.02 0.022 0.008 0.008 0.01 0.288 0.052 0.046 0.126 0.136 0.106
"1521" 501 "MDMR" 0.088 0.07 0.034 0.002 0.054 0.004 0.076 0.044 0.076 0.074 0.096 0.168 0.19 0.042 0.058 0.056
"1522" 502 "MDMR" 0 0 0.006 0.834 0.114 0.46 0.004 0.006 0.006 0.002 0.002 0.002 0.002 0 0 0
"1528" 508 "MDMR" 0.14 0.122 0.12 0.012 0.036 0.002 0.224 0.464 0.388 0.528 0.004 0.52 0.464 0.026 0.038 0.03
"1531" 511 "SKAT" 0.379151460221963 0.379151460221963 0.379151460221963 0.88472572972178 1 0.55024658255157 0.310900211040464 0.310900211040464 0.296975857016407 0.310900211040464 0.0441188679103972 0.262007082274561 0.262007082274561 0.313979558750764 0.306062412247247 0.306062412247247
"1532" 512 "SKAT" 0.307821020951537 0.307821020951537 0.307821020951537 1 0.995258889830078 0.742191238792439 0.468249481763896 0.468249481763897 0.39004497778439 0.468249481763894 0.00302631277747634 0.418452912723628 0.418452912723628 0.463347258141024 0.467522474901021 0.46752247490102
"1534" 514 "SKAT" 0.00265574829672865 0.00265574829672865 0.00265574829672877 0.513207657570998 0.173608263742455 0.430943921759926 0.00165673326615567 0.00165673326615567 0.000752614908798854 0.00165673326615612 3.23678599476462e-05 0.0437086262493298 0.04370862624933 0.00836081899967911 0.00771085280909856 0.00771085280909845
"1536" 516 "SKAT" 0.325038408456977 0.325038408456977 0.325038408456978 1 1 1 0.419327990499818 0.419327990499818 0.499354458184257 0.419327990499821 0.000285070848617952 0.63453936933257 0.63453936933257 0.0703813212887194 0.0697462810295264 0.0697462810295266
"1537" 517 "SKAT" 0.0349444556360137 0.0349444556360137 0.0349444556360134 0.736590347199841 1 0.999998278598323 0.0651341941337114 0.0651341941337117 0.0945289419958524 0.0651341941337117 0.000143161768015876 0.0688862929740217 0.0688862929740222 0.0131208392940818 0.0176524812282333 0.0176524812282334
"1538" 518 "SKAT" 0.0966553919038295 0.0966553919038295 0.0966553919038291 1 0.99999911259038 1 0.121818045933663 0.121818045933663 0.135958055152718 0.121818045933663 0.0138231898616303 0.170122816021401 0.1701228160214 0.127465042383171 0.125160237020138 0.125160237020139
"1544" 524 "SKAT" 0.182546025949647 0.182546025949647 0.182546025949647 1 1 1 0.143913606558166 0.143913606558166 0.131298477250673 0.143913606558166 0.00707524029193751 0.0721069426150347 0.0721069426150349 0.161818793530264 0.164612950132089 0.164612950132089
"1548" 528 "SKAT" 0.233764794430775 0.233764794430775 0.233764794430775 1 0.502663365444817 1 0.22281223331672 0.222812233316721 0.151610605361522 0.222812233316719 0.00716913740722269 0.38765511812833 0.38765511812833 0.30090960238174 0.315188808491485 0.315188808491485
"1550" 530 "SKAT" 0.109889493185922 0.109889493185922 0.109889493185923 1 1 1 0.103139842027557 0.103139842027557 0.14223088309977 0.103139842027556 1.40358142974861e-06 0.156055850321289 0.156055850321289 0.224667693027254 0.223172194714052 0.223172194714052
"1555" 535 "SKAT" 0.0759718682558743 0.0759718682558743 0.075971868255875 0.999887266586378 1 0.440135453892155 0.152039811309036 0.152039811309037 0.275576082816959 0.152039811309034 0.00112122565346984 0.435943925248859 0.435943925248859 0.197938155856786 0.201505313414558 0.201505313414558
"1559" 539 "SKAT" 0.018794707575333 0.018794707575333 0.0187947075753329 0.98234317033668 1 0.553512989063446 0.034863965899731 0.0348639658997308 0.0705190667611566 0.034863965899731 1.5875154599776e-06 0.110032882336526 0.110032882336526 0.0424584151013293 0.04078560279989 0.0407856027998907
"1560" 540 "SKAT" 0.334497037620144 0.334497037620144 0.334497037620144 0.999994699594019 0.97953736536804 1 0.296262721863851 0.296262721863851 0.340098174179498 0.296262721863851 0.0141487338504407 0.335250828902835 0.335250828902835 0.306951494656155 0.319474614426675 0.319474614426675
"1561" 511 "GTSR" 0.994 0.994 0.924 0.862 0.97 0.864 0.996 0.918 0.972 0.838 0.094 0.836 0.836 0.524 0.51 0.51
"1562" 512 "GTSR" 0.862 0.862 0.94 0.87 0.972 0.926 0.818 0.854 0.938 0.984 0.016 0.942 0.942 0.988 0.994 0.994
"1564" 514 "GTSR" 0 0 0 0.594 0.71 0.582 0 0.01 0 0 0 0.058 0.058 0 0 0
"1566" 516 "GTSR" 0.914 0.914 0.744 0.888 0.942 0.878 0.946 0.882 0.95 0.902 0 0.64 0.64 0.012 0.016 0.016
"1567" 517 "GTSR" 0.082 0.082 0.058 0.812 0.918 0.804 0.194 0.582 0.626 0.22 0 0.108 0.108 0 0 0
"1568" 518 "GTSR" 0.254 0.254 0.38 0.948 0.952 0.954 0.502 0.76 0.762 0.414 0.014 0.526 0.526 0.096 0.096 0.096
"1574" 524 "GTSR" 0.48 0.48 0.542 0.854 0.962 0.868 0.47 0.704 0.644 0.456 0.204 0.142 0.142 0.13 0.142 0.142
"1578" 528 "GTSR" 0.648 0.648 0.764 0.88 0.946 0.868 0.752 0.954 0.79 0.644 0 0.976 0.976 0.474 0.54 0.54
"1580" 530 "GTSR" 0.372 0.372 0.492 0.79 0.974 0.82 0.444 0.846 0.866 0.402 0 0.49 0.49 0.304 0.264 0.264
"1585" 535 "GTSR" 0.274 0.274 0.2 0.912 0.922 0.918 0.422 0.714 0.802 0.664 0 0.912 0.912 0.21 0.208 0.208
"1589" 539 "GTSR" 0.034 0.034 0.116 0.642 0.954 0.694 0.19 0.834 0.89 0.122 0 0.302 0.302 0.002 0.002 0.002
"1590" 540 "GTSR" 0.902 0.902 0.906 0.998 0.826 0.95 0.966 0.98 0.868 0.978 0.004 0.924 0.924 0.458 0.484 0.484
"1591" 511 "MDMR" 0.426 0.388 0.342 0.06 0.876 0.17 0.32 0.23 0.314 0.316 0.028 0.372 0.394 0.166 0.202 0.144
"1592" 512 "MDMR" 0.286 0.312 0.25 0.87 0.326 0.674 0.396 0.482 0.414 0.53 0.004 0.324 0.334 0.432 0.464 0.424
"1594" 514 "MDMR" 0 0.008 0 0 0.008 0 0 0 0 0.002 0.002 0.018 0.02 0 0.002 0.002
"1596" 516 "MDMR" 0.31 0.298 0.346 0.584 0.618 0.838 0.436 0.432 0.594 0.38 0 0.508 0.538 0.016 0.014 0.016
"1597" 517 "MDMR" 0.026 0.03 0.024 0 0.252 0 0.05 0.032 0.068 0.048 0 0.078 0.072 0 0 0
"1598" 518 "MDMR" 0.064 0.098 0.076 0.006 0.072 0 0.114 0.092 0.116 0.088 0.016 0.214 0.204 0.042 0.022 0.038
"1604" 524 "MDMR" 0.192 0.172 0.186 0.42 0.868 0.558 0.174 0.14 0.172 0.134 0.006 0.092 0.116 0.04 0.042 0.04
"1608" 528 "MDMR" 0.198 0.226 0.104 0 0.12 0.004 0.036 0.098 0.072 0.228 0.01 0.414 0.362 0.172 0.268 0.208
"1610" 530 "MDMR" 0.088 0.124 0.074 0.024 0.398 0.048 0.074 0.066 0.132 0.086 0 0.24 0.204 0.132 0.088 0.09
"1615" 535 "MDMR" 0.064 0.044 0.07 0.022 0.332 0.142 0.278 0.146 0.34 0.1 0.016 0.44 0.416 0.14 0.132 0.114
"1619" 539 "MDMR" 0.016 0.01 0.004 0.012 0.89 0.03 0.076 0.026 0.088 0.026 0 0.098 0.086 0.016 0.008 0.01
"1620" 540 "MDMR" 0.368 0.35 0.46 0.622 0.358 0.444 0.342 0.354 0.332 0.298 0.046 0.486 0.406 0.292 0.298 0.284
"1622" 542 "SKAT" 0.0745535872886884 0.0745535872886884 0.0745535872886887 1 1 1 0.0819749356245665 0.0819749356245663 0.0996725325183858 0.0819749356245665 0.00737274878603511 0.0715459803137463 0.0715459803137461 0.191936521675238 0.183333780660487 0.183333780660487
"1623" 543 "SKAT" 0.444317608286286 0.444317608286286 0.444317608286285 0.977745782408445 1 1 0.507694622541676 0.507694622541675 0.626477246775954 0.507694622541675 0.00295767769725785 0.775156531804601 0.775156531804602 0.19025375878438 0.19075204375981 0.190752043759809
"1624" 544 "SKAT" 0.702109052744294 0.702109052744294 0.702109052744296 0.999886880784737 1 0.0166259527807261 0.545093717594129 0.545093717594129 0.559776173051917 0.545093717594128 0.302618192686616 0.763363863615977 0.763363863615977 0.712432594897638 0.717162763827993 0.717162763827993
"1625" 545 "SKAT" 0.0912693383506922 0.0912693383506922 0.0912693383506923 1 1 0.736650303269781 0.0641979922417086 0.064197992241709 0.0690295377613226 0.064197992241709 0.142169607206127 0.0934238449185172 0.0934238449185165 0.424731351633713 0.409598755173588 0.409598755173589
"1626" 546 "SKAT" 0.0160003067716419 0.0160003067716419 0.0160003067716418 0.94004790626159 0.999998480496685 0.940276503372714 0.0362272209957186 0.0362272209957191 0.0844179892621246 0.0362272209957188 2.03191824450499e-05 0.120578667860017 0.120578667860016 0.0632602404669229 0.063389699482358 0.0633896994823573
"1627" 547 "SKAT" 0.235134530648169 0.235134530648169 0.235134530648169 0.61020035881513 0.251870291136068 0.402802930135748 0.261518517522926 0.261518517522927 0.276627423976278 0.261518517522926 0.00519799926906095 0.282890083547582 0.282890083547582 0.315805370907291 0.316875031316936 0.316875031316936
"1628" 548 "SKAT" 0.0645062664208643 0.0645062664208643 0.0645062664208649 0.906124581055364 0.999999703290507 0.999879924552802 0.102033487185847 0.102033487185848 0.213892403957392 0.102033487185847 2.12328195419165e-05 0.147957895333241 0.14795789533324 0.0618336821938144 0.0414135439619729 0.0414135439619732
"1629" 549 "SKAT" 0.00136566683762529 0.00136566683762529 0.00136566683762518 1 0.900915250296058 0.632510192745674 0.00467331190920239 0.00467331190920262 0.0180085521943685 0.00467331190920262 4.24659997833032e-07 0.00661260549728671 0.00661260549728715 0.00640193768959807 0.00810655885022693 0.00810655885022693
"1633" 553 "SKAT" 0.581647673936842 0.581647673936842 0.581647673936842 0.808953723937218 0.999996182405587 1 0.743524059946817 0.743524059946814 0.759228960895189 0.743524059946815 0.026590388435064 0.633533718072351 0.63353371807235 0.29687459441725 0.317780749276226 0.317780749276227
"1640" 560 "SKAT" 0.0290736422276948 0.0290736422276948 0.029073642227695 1 1 0.989654501366162 0.0267500787017594 0.0267500787017596 0.0413493207715152 0.0267500787017594 0.0101720920141323 0.0782738984429405 0.0782738984429404 0.0509080252899116 0.0469155368790528 0.0469155368790523
"1642" 562 "SKAT" 0.539902077866774 0.539902077866774 0.539902077866773 1 0.987213291434806 1 0.747360494679943 0.747360494679941 0.85337578415649 0.747360494679947 0.10439628840177 0.372450658539049 0.372450658539049 0.207278239281937 0.209990620099338 0.209990620099338
"1643" 563 "SKAT" 0.00450131491524686 0.00450131491524686 0.00450131491524652 1 1 1 0.00381738986189228 0.00381738986189228 0.0069855757954449 0.00381738986189228 0.00392322748422758 0.00927138158126672 0.0092713815812665 0.0131741520589972 0.00950342603440002 0.0095034260343998
