"Iteration" "Assoc_Stat" "S_IBS" "S_AM" "S_AS" "S_LIN" "S_REC" "S_QUAD" "S_012" "S_123" "S_124" "S_h1" "skat.kernel" "tree1" "tree2" "tree3" "tree4" "tree5"
"82" 22 "MDMR" 0.444 0.36 0.542 0.356 0.64 0.332 0.552 0.452 0.406 0.4 0.272 0.232 0.234 0.29 0.238 0.212
"84" 24 "MDMR" 0.01 0.008 0 0 0.688 0 0.01 0.004 0.038 0.034 0.006 0.052 0.04 0.004 0 0.006
"87" 27 "MDMR" 0.004 0.002 0 0 0.03 0.006 0.002 0.004 0 0.002 0 0.026 0.012 0.002 0.004 0.002
"89" 29 "MDMR" 0.136 0.144 0.124 0.016 0.582 0.044 0.202 0.1 0.206 0.164 0.004 0.404 0.36 0.046 0.048 0.03
"91" 31 "SKAT" 0.0508903378202363 0.0508903378202363 0.0508903378202363 0.999999508219112 1 0.326568810778323 0.0476238622592391 0.0476238622592392 0.0571433636283374 0.0476238622592394 0.00109675301263179 0.0258185610214474 0.0258185610214473 0.095978004454511 0.101769152960647 0.101769152960646
"97" 37 "SKAT" 0.187209382656927 0.187209382656927 0.187209382656927 0.802585678794894 1 0.227987203904323 0.178321991127274 0.178321991127275 0.245200202348433 0.178321991127274 0.00225342147281471 0.222088045031725 0.222088045031725 0.0868056724849355 0.0891045120353929 0.0891045120353919
"104" 44 "SKAT" 0.077728789171006 0.077728789171006 0.0777287891710063 1 0.903674696707203 0.367603223341747 0.171462271882478 0.171462271882478 0.323684043663717 0.171462271882477 0.000416045162288992 0.236230651920238 0.236230651920238 0.0976999760971812 0.0931540479771668 0.0931540479771658
"106" 46 "SKAT" 0.209820798737177 0.209820798737177 0.209820798737178 1 0.00396782153516351 0.0103857791434643 0.34788981441866 0.347889814418662 0.443662326774376 0.347889814418661 0.00508875832459799 0.25245852509737 0.25245852509737 0.268946710189229 0.237601419454267 0.237601419454268
"108" 48 "SKAT" 0.000129145750680015 0.000129145750680015 0.000129145750680015 0.426695573300793 1 1 0.000487382504076761 0.00048738250407665 0.00260867222282868 0.000487382504076761 3.49160232171464e-07 0.000838249762249998 0.000838249762250109 0.0561400145696982 0.0777134295150722 0.0777134295150718
"109" 49 "SKAT" 0.00475576892047647 0.00475576892047647 0.00475576892047624 0.839355011205559 1 1 0.00690709898635267 0.00690709898635267 0.0152818229365583 0.00690709898635267 1.2535446841655e-06 0.0205327943355273 0.0205327943355272 0.0252560756651141 0.0211860054567943 0.0211860054567936
"111" 51 "SKAT" 0.0549743964900952 0.0549743964900952 0.0549743964900951 0.0976645237681117 0.769008914175486 0.186802301898515 0.0746895795779201 0.0746895795779203 0.125065150586923 0.0746895795779199 0.00663780673065173 0.0219736592958635 0.0219736592958635 0.0291333647485041 0.0258442477078364 0.0258442477078373
"114" 54 "SKAT" 0.245919448145052 0.245919448145052 0.245919448145052 0.999996181284973 1 1 0.390562814008664 0.390562814008664 0.363342165691886 0.390562814008667 0.00818350432673598 0.780174828701498 0.780174828701498 0.222443660499547 0.216473997133712 0.216473997133711
"116" 56 "SKAT" 0.005615226631003 0.005615226631003 0.005615226631003 1 1 0.225114445305019 0.0197706692481896 0.0197706692481896 0.0409422949935565 0.0197706692481898 8.92642788796749e-07 0.0380770346743575 0.0380770346743575 0.00330626838440717 0.00312127831812314 0.00312127831812292
"119" 59 "SKAT" 0.799472420114471 0.799472420114471 0.799472420114471 1 0.999882094318794 0.985592123664291 0.765285557345979 0.765285557345977 0.755751013709798 0.76528555734598 0.325694818019407 0.744483019609422 0.744483019609422 0.434104909788056 0.45323265289735 0.45323265289735
"121" 31 "GTSR" 0.108 0.108 0.138 0.816 0.908 0.87 0.096 0.596 0.488 0.182 0.028 0.046 0.046 0.026 0.03 0.03
"127" 37 "GTSR" 0.544 0.544 0.564 0.936 0.972 0.934 0.566 0.78 0.902 0.542 0.002 0.702 0.702 0.024 0.034 0.034
"131" 41 "GTSR" 0.576 0.576 0.672 0.784 0.926 0.842 0.548 0.868 0.736 0.476 0.012 0.982 0.982 0.772 0.786 0.786
"134" 44 "GTSR" 0.224 0.224 0.146 0.996 0.894 0.944 0.474 0.6 0.944 0.624 0 0.76 0.76 0.032 0.024 0.024
