"Iteration" "Assoc_Stat" "P-val"
"390" 390 "SLT" 0.00403250987284767
"392" 392 "SLT" 0.0126150459111735
"398" 398 "SLT" 0.0795342186933157
"399" 399 "SLT" 0.00395972620031452
"401" 401 "SLT" 0.0118322517232066
"403" 403 "SLT" 0.000750810202369579
"405" 405 "SLT" 0.00154849945299011
"406" 406 "SLT" 0.0275350806864953
"409" 409 "SLT" 0.0696665670909974
"412" 412 "SLT" 0.00814273595025236
"414" 414 "SLT" 0.348397803715372
"415" 415 "SLT" 0.222865458785169
"416" 416 "SLT" 0.0176958089946164
"421" 421 "SLT" 0.0238581237879979
"426" 426 "SLT" 2.19161860274271e-05
"429" 429 "SLT" 0.243724859927922
"433" 433 "SLT" 0.00392647572778939
"435" 435 "SLT" 2.59032038162801e-06
"438" 438 "SLT" 2.15161635517951
"441" 441 "SLT" 0.0563025724980395
"442" 442 "SLT" 0.147261501297759
"446" 446 "SLT" 0.0163642160270061
"449" 449 "SLT" 0.0491823519752255
"455" 455 "SLT" 0.000334494776031724
"458" 458 "SLT" 9.63502331099568e-05
"459" 459 "SLT" 0.0383413695563101
"466" 466 "SLT" 5.00180924877757e-05
"470" 470 "SLT" 0.0303899467497688
"471" 471 "SLT" 0.000927843107957053
"472" 472 "SLT" 0.702225752609451
"473" 473 "SLT" 0.0124853218367636
"475" 475 "SLT" 0.00409854033368438
"477" 477 "SLT" 5.04589346922647e-05
"479" 479 "SLT" 0.230838751019726
"482" 482 "SLT" 0.092053925277505
"483" 483 "SLT" 0.00895895416855081
"484" 484 "SLT" 0.000343082459283295
"485" 485 "SLT" 0.000236517143524019
"487" 487 "SLT" 0.000354717670575904
"488" 488 "SLT" 0.00939400361728938
"489" 489 "SLT" 0.122232649992598
"492" 492 "SLT" 0.551413167620941
"493" 493 "SLT" 0.0015973958172332
"494" 494 "SLT" 0.289129874496401
"498" 498 "SLT" 0.216676988763092
"501" 501 "SLT" 0.219084706051382
"502" 502 "SLT" 9.63556488682653e-05
"508" 508 "SLT" 3.76829138207004e-07
"511" 511 "SLT" 0.0851886915381513
"512" 512 "SLT" 0.220492131747092
"514" 514 "SLT" 1.15434747285778e-05
"516" 516 "SLT" 0.000793385502003595
"517" 517 "SLT" 0.373934441654633
"518" 518 "SLT" 0.00404965215976312
"524" 524 "SLT" 0.00574230518604732
"528" 528 "SLT" 0.00403797788197152
"530" 530 "SLT" 0.00278270559921377
"535" 535 "SLT" 0.00726242852664133
"539" 539 "SLT" 0.00828498031854667
"540" 540 "SLT" 3.01970925556579e-05
"542" 542 "SLT" 0.789406974610277
"543" 543 "SLT" 1.01746210957038e-05
"544" 544 "SLT" 0.0130509137083035
"545" 545 "SLT" 0.0146770983061797
"546" 546 "SLT" 0.00714513181322971
"547" 547 "SLT" 0.00449938368085282
"548" 548 "SLT" 0.00075496782451338
"549" 549 "SLT" 0.0741027541733116
"553" 553 "SLT" 0.0587426869214405
"560" 560 "SLT" 0.0074647463986324
"562" 562 "SLT" 0.316004650785473
"563" 563 "SLT" 0.000670519157712172
"566" 566 "SLT" 0.0526540271568638
"567" 567 "SLT" 0.0478357464180968
"571" 571 "SLT" 0.0104574923215252
"572" 572 "SLT" 1.37065577819139e-05
"574" 574 "SLT" 0.00173386369109691
"575" 575 "SLT" 0.0116286487725689
"582" 582 "SLT" 0.0220500222862022
"583" 583 "SLT" 0.347268231172071
"584" 584 "SLT" 0.000321057216178353
"590" 590 "SLT" 0.0309253932272038
"591" 591 "SLT" 0.0024067154928316
"595" 595 "SLT" 0.0778929368012653
"598" 598 "SLT" 0.0026774364078823
"600" 600 "SLT" 0.00101636977375347
"601" 601 "SLT" 0.00073639096021091
"608" 608 "SLT" 0.134116523466208
"611" 611 "SLT" 0.0217331157173151
"613" 613 "SLT" 0.0111711369687125
"622" 622 "SLT" 0.269359870534263
"639" 639 "SLT" 0.00201716122383655
"643" 643 "SLT" 0.0540591973428027
"644" 644 "SLT" 0.000338587805248614
"645" 645 "SLT" 0.000503592135316338
"646" 646 "SLT" 1.05602315339787
"650" 650 "SLT" 0.539293975493944
"652" 652 "SLT" 0.00986775964329437
"656" 656 "SLT" 0.159977822205452
"658" 658 "SLT" 0.0233644516662991
"659" 659 "SLT" 0.479568541824306
"663" 663 "SLT" 0.0255852020285007
"665" 665 "SLT" 0.464541322697402
"666" 666 "SLT" 0.133179248718373
"669" 669 "SLT" 0.000352112421667151
"675" 675 "SLT" 0.0796996901699998
"676" 676 "SLT" 0.114091367767049
"678" 678 "SLT" 0.0178986643665219
"683" 683 "SLT" 0.00619478031212638
"684" 684 "SLT" 0.0446760299991042
"685" 685 "SLT" 0.034920831236074
"689" 689 "SLT" 0.707150581742323
"691" 691 "SLT" 0.90294064680496
"696" 696 "SLT" 0.0111000499981975
"697" 697 "SLT" 0.000180983794698572
"699" 699 "SLT" 0.20314594390517
"704" 704 "SLT" 1.30816455305757e-06
"705" 705 "SLT" 0.152666185388062
"706" 706 "SLT" 0.112628308307511
"712" 712 "SLT" 0.0779365900801383
"713" 713 "SLT" 0.725552153393245
"715" 715 "SLT" 0.0134288235118441
"716" 716 "SLT" 0.00623698014015115
"718" 718 "SLT" 0.919996129686056
"720" 720 "SLT" 0.0004854547441837
"721" 721 "SLT" 0.602152117925867
"730" 730 "SLT" 0.158221842105966
"734" 734 "SLT" 0.503343232961675
"736" 736 "SLT" 0.179338640362614
"738" 738 "SLT" 0.000222072412923142
"740" 740 "SLT" 1.16772612469276
"742" 742 "SLT" 0.0333176307194213
"743" 743 "SLT" 0.0797274237445929
"744" 744 "SLT" 0.231223112785118
"745" 745 "SLT" 0.0387605353353667
"747" 747 "SLT" 0.000592388262217415
"749" 749 "SLT" 0.00759415713669151
"750" 750 "SLT" 0.0265318809122279
"751" 751 "SLT" 0.0909675200921233
"752" 752 "SLT" 0.00201225532774875
"758" 758 "SLT" 0.617109832638743
"764" 764 "SLT" 0.130778960801727
"766" 766 "SLT" 0.00239453131638436
"768" 768 "SLT" 0.000129382467242763
"772" 772 "SLT" 0.000871381450752676
"773" 773 "SLT" 0.000562844998337768
"774" 774 "SLT" 0.334210329554812
"775" 775 "SLT" 0.058817241258735
"781" 781 "SLT" 0.0605457581652957
"782" 782 "SLT" 0.0600940751343907
"787" 787 "SLT" 0.00763839236171306
"788" 788 "SLT" 0.0408859890290973
"789" 789 "SLT" 0.0730397111597522
"791" 791 "SLT" 0.00419967491622669
"793" 793 "SLT" 0.0630067245240552
"799" 799 "SLT" 0.00025987310986312
"805" 805 "SLT" 0.000265293923604617
"809" 809 "SLT" 0.148731824524403
"819" 819 "SLT" 0.000290861929244071
"823" 823 "SLT" 0.000543659903122346
"836" 836 "SLT" 0.403056760531181
"841" 841 "SLT" 0.000694869206443377
"846" 846 "SLT" 0.00409442980855933
"848" 848 "SLT" 0.0148156712307783
"851" 851 "SLT" 0.104302823691315
"854" 854 "SLT" 0.000544401921680505
"859" 859 "SLT" 0.147012829844739
"861" 861 "SLT" 0.068392063930776
"865" 865 "SLT" 0.0358373014859745
"867" 867 "SLT" 0.261534461465577
"869" 869 "SLT" 0.0397594044335088
"872" 872 "SLT" 0.0196627574991428
"880" 880 "SLT" 0.0754335529423587
"883" 883 "SLT" 0.0658064366604893
"887" 887 "SLT" 0.00207652268731233
"888" 888 "SLT" 0.0417759629364055
"890" 890 "SLT" 0.0557457886427509
"891" 891 "SLT" 0.0351547948088233
"902" 902 "SLT" 0.169750581181852
"906" 906 "SLT" 0.000404616253152451
"907" 907 "SLT" 0.0589978604190789
"914" 914 "SLT" 0.19977180288647
"920" 920 "SLT" 0.00505684664667501
"922" 922 "SLT" 0.000152604111431363
"925" 925 "SLT" 6.4068363292997e-05
"928" 928 "SLT" 0.890986948393693
"929" 929 "SLT" 0.000105919243326827
"932" 932 "SLT" 0.310927993566658
"936" 936 "SLT" 0.1113590763986
"939" 939 "SLT" 0.00793781587545678
